id,kospiCode,kospiName
1,5930,삼성전자
2,373220,LG에너지솔루션
3,660,SK하이닉스
4,207940,삼성바이오로직스
5,5490,POSCO홀딩스
6,5380,현대차
7,6400,삼성SDI
8,51910,LG화학
9,35420,NAVER
10,270,기아
11,3670,포스코퓨처엠
12,105560,KB금융
13,12330,현대모비스
14,68270,셀트리온
15,28260,삼성물산
16,35720,카카오
17,55550,신한지주
18,66570,LG전자
19,96770,삼성생명
20,32830,SK이노베이션
21,47050,포스코인터내셔널
22,3550,LG
23,86790,하나금융지주
24,810,삼성화재
25,33780,KT&G
26,15760,한국전력
27,323410,카카오뱅크
28,138040,메리츠금융지주
29,329180,HD현대중공업
30,17670,SK
31,34020,SK텔레콤
32,34730,두산에너빌리티
33,10130,고려아연
34,18260,삼성에스디에스
35,9150,삼성전기
36,316140,우리금융지주
37,352820,하이브
38,24110,기업은행
39,10950,S-Oil
40,11200,KT
41,30200,HMM
42,9540,HD한국조선해양
43,3490,대한항공
44,1570,금양
45,10140,삼성중공업
46,259960,크래프톤
47,90430,아모레퍼시픽
48,51900,LG생활건강
49,86280,현대글로비스
50,326030,SK바이오팜
51,5830,DB손해보험
52,42660,한화오션
53,28050,삼성엔지니어링
54,402340,롯데케미칼
55,11170,SK스퀘어
56,11070,LG이노텍
57,377300,카카오페이
58,100,유한양행
59,241560,두산밥캣
60,12450,한화에어로스페이스
61,361610,SK아이이테크놀로지
62,4020,현대제철
63,302440,SK바이오사이언스
64,9830,한화솔루션
65,267250,HD현대
66,36570,엔씨소프트
67,161390,한국타이어앤테크놀로지
68,271560,오리온
69,18880,한온시스템
70,34220,LG디스플레이
71,47810,한국항공우주
72,32640,LG유플러스
73,97950,CJ제일제당
74,383220,F&F
75,720,미래에셋증권
76,6800,현대건설
77,11780,금호석유
78,251270,넷마블
79,128940,한미약품
80,78930,GS
81,29780,삼성카드
82,5940,NH투자증권
83,10620,현대미포조선
84,8770,호텔신라
85,6260,LS
86,35250,강원랜드
87,16360,삼성증권
88,71050,한국금융지주
89,21240,코웨이
90,64350,현대로템
91,1450,현대해상
92,10120,LS ELECTRIC
93,11790,SKC
94,3410,쌍용C&E
95,4990,롯데지주
96,1040,CJ
97,2790,농심
98,4370,팬오션
99,28670,한화생명
100,88350,한진칼
101,180640,아모레G
102,7070,GS리테일
103,39490,BGF리테일
104,282330,한전기술
105,81660,휠라홀딩스
106,52690,키움증권
107,990,DB하이텍
108,2380,KCC
109,8930,한미사이언스
110,12750,에스원
111,30000,제일기획
112,272210,한화시스템
113,42670,HD현대인프라코어
114,111770,영원무역
115,112610,씨에스윈드
116,138930,BNK금융지주
117,36460,한국가스공사
118,4170,신세계
119,175330,JB금융지주
120,23530,롯데쇼핑
121,120,CJ대한통운
122,150,두산
123,880,한화
124,204320,한솔케미칼
125,20150,효성첨단소재
126,79550,LIG넥스원
127,139480,이마트
128,14680,HL만도
129,17800,롯데에너지머티리얼즈
130,298050,현대엘리베이
131,47040,대우건설
132,26960,동서
133,1440,대한전선
134,1740,SK네트웍스
135,4000,롯데정밀화학
136,5850,에스엘
137,298020,효성티앤씨
138,11210,현대위아
139,51600,한전KPS
140,69960,현대백화점
141,10060,OCI홀딩스
142,80,하이트진로
143,3230,삼양식품
144,4800,효성
145,5420,코스모화학
146,7310,오뚜기
147,336260,두산퓨얼셀
148,9420,한올바이오파마
149,137310,에스디바이오센서
150,139130,DGB금융지주
151,192820,코스맥스
152,9240,한샘
153,1120,LX인터내셔널
154,5300,롯데칠성
155,6280,녹십자
156,6360,GS건설
157,375500,DL이앤씨
158,73240,금호타이어
159,120110,코오롱인더
160,161890,한국콜마
161,185750,종근당
162,69620,대웅제약
163,240,한국앤컴퍼니
164,670,영풍
165,9900,명신산업
166,10780,아이에스동서
167,285130,SK케미칼
168,93370,후성
169,103140,풍산
170,114090,GKL
171,280360,롯데웰푸드
172,32350,롯데관광개발
173,210,DL
174,1800,오리온홀딩스
175,3090,대웅
176,4490,세방전지
177,6650,대한유화
178,14820,동원시스템즈
179,300720,한일시멘트
180,19170,신풍제약
181,20560,아시아나항공
182,69260,TKG휴켐스
183,105630,한세실업
184,271940,일진하이솔루스
185,16380,KG스틸
186,1680,대상
187,3240,태광산업
188,3850,보령
189,5250,녹십자홀딩스
190,294870,HDC현대산업개발
191,31430,신세계인터내셔날
192,39130,하나투어
193,178920,PI첨단소재
194,192080,더블유게임즈
195,8730,율촌화학
196,13890,지누스
197,20000,한섬
198,381970,케이카
199,284740,쿠쿠홈시스
200,57050,현대홈쇼핑
